行号,笔记标题,主页链接,原笔记地址,失败原因
85,三餐四季皆是爱，懒人妈妈的厨房救星❤️,https://www.xiaohongshu.com/user/profile/56c423bd50c4b4473fb99f93,https://www.xiaohongshu.com/explore/69cf817200000000230276f6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
86,小人国的板仔军团也来帮老板过生日咯,https://www.xiaohongshu.com/user/profile/614d69d0000000001f03678c,https://www.xiaohongshu.com/explore/69cc710a000000001a03681d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
87,感谢开放式厨房 78平显大不是一点 | 附尺寸,https://www.xiaohongshu.com/user/profile/61bc26cb0000000021023940,https://www.xiaohongshu.com/explore/69ccd9f5000000001f000afa?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
88,一年级，开春高效追高,https://www.xiaohongshu.com/user/profile/6143486a0000000002026ab1,https://www.xiaohongshu.com/explore/69ce67ef000000001a036c11?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
89,5㎡小厨房逆袭｜无烟也能拥有满满烟火气,https://www.xiaohongshu.com/user/profile/57adc04982ec3962004c8374,https://www.xiaohongshu.com/explore/69cf96f2000000001a02a415?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
90,辅食邪修：微蒸烤一体机,https://www.xiaohongshu.com/user/profile/6705d7da000000001d032ea3,https://www.xiaohongshu.com/explore/69ccbe6c0000000021007a81?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
91,惊喜盒子！ROBAM老板412份,https://www.xiaohongshu.com/user/profile/5f82a3b0000000000100b1bd,https://www.xiaohongshu.com/explore/69ce847b0000000023012a3d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
92,新房没通燃气，先用上凯度蒸烤箱,https://www.xiaohongshu.com/user/profile/606107f000000000010037dd,https://www.xiaohongshu.com/explore/69cf993500000000210102a6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
93,不知道，我的开放式厨房很曼妙,https://www.xiaohongshu.com/user/profile/5defc7000000000001002514,https://www.xiaohongshu.com/explore/69ca0d67000000001b0200eb?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
94,想让厨房变得好看又好用，有这么难吗❓,https://www.xiaohongshu.com/user/profile/5e86d5180000000001006bb5,https://www.xiaohongshu.com/explore/69ce3dac000000002200ef0f?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
95,黄金尺寸+微蒸烤箱，颜值实用一步到位✨,https://www.xiaohongshu.com/user/profile/5ec3c8c8000000000101fe55,https://www.xiaohongshu.com/explore/69cc8caf000000001f0064a9?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
96,不堆砌参数｜微蒸烤箱优缺点都讲明白,https://www.xiaohongshu.com/user/profile/5d21b337000000001001907d,https://www.xiaohongshu.com/explore/69cb945d000000001b020f89?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
97,我的厨房可能不适大众但很适合我🍽️,https://www.xiaohongshu.com/user/profile/5739779b1c07df7973ff3ae7,https://www.xiaohongshu.com/explore/69ce264a000000002200d9ae?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
98,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/64a681ba000000001c02bbaa,https://www.xiaohongshu.com/explore/69ce22ae0000000020038950?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
99,厨房高级又好用❗️全靠这个微蒸烤和洄游动线,https://www.xiaohongshu.com/user/profile/54c8a4692e1d9303174654c6,https://www.xiaohongshu.com/explore/69ccca63000000001e00fec6?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
100,「老板电器寻鲜记」惊喜盒子掉落啦！,https://www.xiaohongshu.com/user/profile/603df641000000000101fdb6,https://www.xiaohongshu.com/explore/69cf8e930000000023025237?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
101,求真实反馈，微蒸烤一体机哪台好？,https://www.xiaohongshu.com/user/profile/67fdee68000000000d00a5bf,https://www.xiaohongshu.com/explore/69cf88a1000000001f006469?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
102,给爸妈换厨房家电🥰选了张凌赫同款,https://www.xiaohongshu.com/user/profile/6554861a000000000202a250,https://www.xiaohongshu.com/explore/69ce50b4000000002202ac6d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
